"run_id","scheduled_order","arm","status","parser_correct","adjudicated_correct","parser_status","reasoning_output_tokens","reasoning_tokens_is_516","input_tokens","cached_input_tokens","output_tokens","wall_ms","ttft_ms","tokens_per_second","final_text_sha256"
"run-0167-control",167,"control","completed",false,false,"resolved",516,true,11331,9088,917,21267,19675,43.11844641933512,"58a11d5336671e3fc01d531dc89491f4d9f4d7646a29871fc5307c597c8034da"
"run-0169-treatment",169,"treatment","completed",false,false,"resolved",516,true,11346,11136,892,21127,19690,42.22085483031193,"bdc11044fea9bbff97e7f4c803f83051735d045872ef9b6eb7a6c35852b224c2"
"run-0170-control",170,"control","completed",false,false,"resolved",516,true,11331,11136,661,21590,20023,30.61602593793423,"4f21a8ad587ffd801c71a3aae965def7514df20e291b356b8c03519daeabb54b"
"run-0171-treatment",171,"treatment","completed",false,false,"resolved",516,true,11346,11136,733,19910,18409,36.81567051732797,"f120df15b20ab0d5a87b21490ef2f83b1c5b48811e076fdd68f90ffb71313b24"
"run-0172-control",172,"control","completed",false,false,"resolved",516,true,11331,11136,799,19562,18140,40.8444944279726,"aeac137dbdd2b2e66e47fcf7e82288f79d6745e5cfe1b73d7f54d1752cec230b"
"run-0173-treatment",173,"treatment","completed",false,false,"resolved",516,true,11346,11136,918,22539,21032,40.72940236922667,"e67894486d3924449d3464f57b301110df8b1f2464dd3e3116a08cf70f99e257"
"run-0166-treatment",166,"treatment","completed",true,true,"resolved",3060,false,11346,11136,3266,62900,62642,51.92368839427663,"bdf502a977f72764830a52dfd210ac0d302aba954e539bbe56d3802d035c649e"
"run-0160-treatment",160,"treatment","completed",true,true,"resolved",4660,false,11346,11136,4837,91223,90888,53.02390844414238,"3cf0a0ad5f82e25fa164bf89ff7bb0b8a3733bbe26c8244d64510e7c14625d65"
"run-0175-control",175,"control","completed",false,false,"resolved",516,true,11331,9088,755,18328,16850,41.193801833260586,"9d58bdd49b9ebf0a63b32138729770d6ebe9b4510b6095d33a3f062f0ac5de34"
"run-0174-control",174,"control","completed",false,false,"resolved",516,true,11331,11136,837,29385,27932,28.483920367534456,"502ddc2677b418bdfb3d64ee8c06ffa51ac967c7a8958cab219a34546cf18055"
"run-0176-treatment",176,"treatment","completed",false,false,"resolved",516,true,11346,11136,684,17963,16584,38.07827200356288,"184c523971dc061de2e597f334d341a59041e69709e9d70b2b50c104733660ab"
"run-0177-treatment",177,"treatment","completed",false,false,"resolved",516,true,11346,11136,751,20602,19173,36.452771575575184,"3936d8cad25de8d3f2ba8933ae1c97fd0e3887a1c3358f692271d747aa9fcf3c"
"run-0178-control",178,"control","completed",false,false,"resolved",516,true,11331,11136,743,19710,18192,37.696600710299336,"1f9847829def7bdec1a526c2d819e8e9259bd88cf7c5705eebd3f5c3e6574161"
"run-0162-control",162,"control","completed",true,true,"ambiguous",5178,false,11331,11136,5430,101725,101359,53.379208650774146,"bbb045035eab4541178fc70e5806b6bafa281a30ec0473a8d40f43eafff6d2e9"
"run-0179-control",179,"control","completed",false,false,"resolved",516,true,11331,11136,767,18886,17480,40.61209361431749,"f4b5934e0fd89d00b3cc721ad66da4d640a99f45e417357efbebbc700ad7033e"
"run-0180-treatment",180,"treatment","completed",false,false,"resolved",516,true,11346,11136,627,16815,15233,37.28813559322034,"0e0f05175560b9b9de2bc73018240779246001782e11d08db67abd78514de735"
"run-0181-treatment",181,"treatment","completed",false,false,"resolved",516,true,11346,11136,788,19390,17708,40.639504899432694,"0d19a8f1853c2be671b9f7f4b45ee3243f5a883372c723afb550fae17ab6f4ea"
"run-0182-control",182,"control","completed",false,false,"resolved",516,true,11331,11136,869,21468,20006,40.47885224520216,"8e0ade6a9ca9880414e8c4f2b82377abbf53b798e3d6ffa82941dc9f689f7b52"
"run-0187-treatment",187,"treatment","completed",false,false,"resolved",516,true,11346,11136,603,17387,15812,34.681083568183126,"807947eaf0b2d97d7442411cfd0cd42e70292fd934b9bc8650e9fc9855a7540b"
"run-0186-treatment",186,"treatment","completed",false,false,"resolved",516,true,11346,11136,761,18765,17269,40.55422328803623,"f90770d10b4e92885bcb921780a2dfaf017d7f4af7d3b0134175596702dbb0b4"
"run-0184-treatment",184,"treatment","completed",false,false,"resolved",516,true,11346,9088,699,23257,21797,30.055467171174268,"7572ac64e77e66aab0d3743d239c966cf627b1422abcbeab816f6c1ae1d9fb01"
"run-0183-control",183,"control","completed",false,false,"resolved",516,true,11331,9088,1051,24232,22672,43.37240013205678,"3bc567ecfb099ef7a52f018bd898f0decf63ba6c87a7f2d91960c2bde458ddae"
"run-0185-control",185,"control","completed",false,false,"resolved",516,true,11331,9088,913,23995,22342,38.04959366534695,"7de30e9c3cc2d4a1b16eb0fb075e90884067da0cf03549378e8cd58b500665d1"
"run-0188-control",188,"control","completed",false,false,"resolved",516,true,11331,9088,708,24414,22713,28.99975423937085,"9af4b6df9a86d06d8407d9fd6df4224759ea2b4d81ab7901097f3a12734d34c1"
"run-0189-treatment",189,"treatment","completed",false,false,"resolved",516,true,11346,11136,881,21193,19693,41.570329825885906,"e4421a62356423825a406b8171682f575ae2ba62e79c245048614b80d3001caf"
"run-0192-treatment",192,"treatment","completed",false,false,"resolved",516,true,11346,11136,669,18607,17107,35.954210780888914,"a21eea8c5c8c2e57a27368878f65d797b67b90305053f9a755d815ecc6f644db"
"run-0168-treatment",168,"treatment","completed",true,true,"resolved",5696,false,11346,9088,5842,109304,108827,53.44726633974969,"825b250aef462f4231660ad5ff8b56ffed128c20ed285be76a756463b4e0bd20"
